kabupaten_kota,kecamatan,desa_kelurahan,status,jenis_kelamin,jumlah_penduduk,tahun
KABUPATEN BOGOR,CIBUNGBULANG,CIMANGGU 2,DESA,PEREMPUAN,3200,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIMANGGU 1,DESA,LAKI-LAKI,4293,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIMANGGU 1,DESA,PEREMPUAN,4081,2019
KABUPATEN BOGOR,CIBUNGBULANG,GIRIMULYA,DESA,LAKI-LAKI,4047,2019
KABUPATEN BOGOR,CIBUNGBULANG,GIRIMULYA,DESA,PEREMPUAN,3721,2019
KABUPATEN BOGOR,CIBUNGBULANG,LEUWEUNG KOLOT,DESA,LAKI-LAKI,5191,2019
KABUPATEN BOGOR,CIBUNGBULANG,LEUWEUNG KOLOT,DESA,PEREMPUAN,4709,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIARUTEN ILIR,DESA,LAKI-LAKI,3876,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIARUTEN ILIR,DESA,PEREMPUAN,3709,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIJUJUNG,DESA,LAKI-LAKI,5067,2019
KABUPATEN BOGOR,CIBUNGBULANG,CIJUJUNG,DESA,PEREMPUAN,4850,2019
KABUPATEN BOGOR,CIAMPEA,CIAMPEA UDIK,DESA,LAKI-LAKI,5485,2019
KABUPATEN BOGOR,CIAMPEA,CIAMPEA UDIK,DESA,PEREMPUAN,5157,2019
KABUPATEN BOGOR,CIAMPEA,CINANGKA,DESA,LAKI-LAKI,6825,2019
KABUPATEN BOGOR,CIAMPEA,CINANGKA,DESA,PEREMPUAN,6420,2019
KABUPATEN BOGOR,CIAMPEA,CIBUNTU,DESA,LAKI-LAKI,5822,2019
KABUPATEN BOGOR,CIAMPEA,CIBUNTU,DESA,PEREMPUAN,5489,2019
KABUPATEN BOGOR,CIAMPEA,CICADAS,DESA,LAKI-LAKI,5280,2019
KABUPATEN BOGOR,CIAMPEA,CICADAS,DESA,PEREMPUAN,4875,2019
KABUPATEN BOGOR,CIAMPEA,TEGAL WARU,DESA,LAKI-LAKI,2718,2019
KABUPATEN BOGOR,CIAMPEA,TEGAL WARU,DESA,PEREMPUAN,2658,2019
KABUPATEN BOGOR,CIAMPEA,BOJONG JENGKOL,DESA,LAKI-LAKI,6411,2019
KABUPATEN BOGOR,CIAMPEA,BOJONG JENGKOL,DESA,PEREMPUAN,6115,2019
KABUPATEN BOGOR,CIAMPEA,CIHIDEUNG UDIK,DESA,LAKI-LAKI,6680,2019
KABUPATEN BOGOR,CIAMPEA,CIHIDEUNG UDIK,DESA,PEREMPUAN,6433,2019
KABUPATEN BOGOR,CIAMPEA,CIHIDEUNG ILIR,DESA,LAKI-LAKI,7974,2019
KABUPATEN BOGOR,CIAMPEA,CIHIDEUNG ILIR,DESA,PEREMPUAN,7521,2019
KABUPATEN BOGOR,CIAMPEA,CIBANTENG,DESA,LAKI-LAKI,4097,2019
KABUPATEN BOGOR,CIAMPEA,CIBANTENG,DESA,PEREMPUAN,3879,2019
KABUPATEN BOGOR,CIAMPEA,BOJONG RANGKAS,DESA,LAKI-LAKI,5967,2019
KABUPATEN BOGOR,CIAMPEA,BOJONG RANGKAS,DESA,PEREMPUAN,5842,2019
KABUPATEN BOGOR,CIAMPEA,CIBADAK,DESA,LAKI-LAKI,8240,2019
KABUPATEN BOGOR,CIAMPEA,CIBADAK,DESA,PEREMPUAN,7941,2019
KABUPATEN BOGOR,CIAMPEA,BENTENG,DESA,LAKI-LAKI,5082,2019
KABUPATEN BOGOR,CIAMPEA,BENTENG,DESA,PEREMPUAN,4852,2019
KABUPATEN BOGOR,CIAMPEA,CIAMPEA,DESA,LAKI-LAKI,3859,2019
KABUPATEN BOGOR,CIAMPEA,CIAMPEA,DESA,PEREMPUAN,3709,2019
KABUPATEN BOGOR,TENJOLAYA,TAPOS 1,DESA,LAKI-LAKI,4588,2019
KABUPATEN BOGOR,TENJOLAYA,TAPOS 1,DESA,PEREMPUAN,4278,2019
