id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,status_pemerintahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
39,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020017,LEUWIMEKAR,32.01.14,LEUWILIANG,32.01.14.2007,LEUWIMEKAR,DESA,LAKI-LAKI,4189,JIWA,2019
40,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020017,LEUWIMEKAR,32.01.14,LEUWILIANG,32.01.14.2007,LEUWIMEKAR,DESA,PEREMPUAN,3988,JIWA,2019
41,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020018,LEUWILIANG,32.01.14,LEUWILIANG,32.01.14.2001,LEUWILIANG,DESA,LAKI-LAKI,6341,JIWA,2019
42,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020018,LEUWILIANG,32.01.14,LEUWILIANG,32.01.14.2001,LEUWILIANG,DESA,PEREMPUAN,5821,JIWA,2019
43,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020019,KAREHKEL,32.01.14,LEUWILIANG,32.01.14.2011,KAREHKEL,DESA,LAKI-LAKI,6117,JIWA,2019
44,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201020,LEUWILIANG,3201020019,KAREHKEL,32.01.14,LEUWILIANG,32.01.14.2011,KAREHKEL,DESA,PEREMPUAN,5969,JIWA,2019
45,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021001,WANGUN JAYA,32.01.39,LEUWISADENG,32.01.39.2004,WANGUNJAYA,DESA,LAKI-LAKI,2158,JIWA,2019
46,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021001,WANGUN JAYA,32.01.39,LEUWISADENG,32.01.39.2004,WANGUNJAYA,DESA,PEREMPUAN,2072,JIWA,2019
47,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021002,SADENGKOLOT,32.01.39,LEUWISADENG,32.01.39.2003,SADENG KOLOT,DESA,LAKI-LAKI,4186,JIWA,2019
48,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021002,SADENGKOLOT,32.01.39,LEUWISADENG,32.01.39.2003,SADENG KOLOT,DESA,PEREMPUAN,4029,JIWA,2019
49,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021003,LEUWISADENG,32.01.39,LEUWISADENG,32.01.39.2001,LEUWISADENG,DESA,LAKI-LAKI,4845,JIWA,2019
50,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021003,LEUWISADENG,32.01.39,LEUWISADENG,32.01.39.2001,LEUWISADENG,DESA,PEREMPUAN,4614,JIWA,2019
51,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021004,SIBANTENG,32.01.39,LEUWISADENG,32.01.39.2008,SIBANTENG,DESA,LAKI-LAKI,3536,JIWA,2019
52,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021004,SIBANTENG,32.01.39,LEUWISADENG,32.01.39.2008,SIBANTENG,DESA,PEREMPUAN,3408,JIWA,2019
53,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021005,BABAKAN SADENG,32.01.39,LEUWISADENG,32.01.39.2002,BABAKAN SADENG,DESA,LAKI-LAKI,6003,JIWA,2019
54,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021005,BABAKAN SADENG,32.01.39,LEUWISADENG,32.01.39.2002,BABAKAN SADENG,DESA,PEREMPUAN,5475,JIWA,2019
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,3201021,LEUWISADENG,3201021006,SADENG,32.01.39,LEUWISADENG,32.01.39.2007,SADENG,DESA,LAKI-LAKI,3781,JIWA,2019
